Total Slug,Slug in platform,Contentful Entity ID,,
/en-us/ebooks-papers/comprehensive-guide-how-find-right-folder-inserter,ebooks-papers/comprehensive-guide-how-find-right-folder-inserter,6P19TKRFh4xTJU2OX3kJXI,,
/en-us/ebooks-papers/customer-playbook-digitizing-invoices,ebooks-papers/customer-playbook-digitizing-invoices,4CfiL1A07b9moqCnnMaS4V,,
/en-us/ebooks-papers/future-mail-top-5-predictions-industry-experts,ebooks-papers/future-mail-top-5-predictions-industry-experts,2HE1fLOx08rnaZFU4kdPAd,,
/en-us/ebooks-papers/guide-automating-invoices-finance-teams,ebooks-papers/guide-automating-invoices-finance-teams,7asvJzMwQp1TtCGSGdZz01,,
/en-us/ebooks-papers/preventive-care-for-your-healthcare-operation,ebooks-papers/preventive-care-for-your-healthcare-operation,7wYShodHgAqCkzfAS3x0LW,,
/en-us/ebooks-papers/print-shop-high-margin-mail-guide,ebooks-papers/print-shop-high-margin-mail-guide,6yipKvFMbdljZsar2RbPIM,,
/en-us/ebooks-papers/printing-future-print-service-providers-psps-build-stronger-customer-connections,ebooks-papers/printing-future-print-service-providers-psps-build-stronger-customer-connections,1VsOfwcVLEBL0q2KbhPM4v,,
/en-us/ebooks-papers/quick-reference-guide-to-usps-intelligent-mail-indicia,ebooks-papers/quick-reference-guide-to-usps-intelligent-mail-indicia,5djdi7zPbSDQ91pHhEZwhE,,
/en-us/ebooks-papers/ultimate-postage-meter-buyers-guide,ebooks-papers/ultimate-postage-meter-buyers-guide,7wahh4CHqDrBVtrUYMq6P4,,
/en-us/ebooks-papers/ups-and-fedex-rate-guides,ebooks-papers/ups-and-fedex-rate-guides,6Kt5BrTq1NEOwoNmqCtc4H,,
/en-us/webinars-events/industry-spotlight-ap-workflows-actually-work,webinars-events/industry-spotlight-ap-workflows-actually-work,YLq4h1FwX03TDsk4nm1af,,
/en-us/webinars-events/leadership-roundtable-what-cfos-expect-ap-2026,webinars-events/leadership-roundtable-what-cfos-expect-ap-2026,511p6VqqYsHbN5Ym2yr4Qx,,
/en-us/webinars-events/why-finance-teams-lose-control,webinars-events/why-finance-teams-lose-control,3eoN3FituDKbDXrENBSCxZ,,
/en-us/ebooks-papers/qks-ai-maturity-matrix-ccm,ebooks-papers/qks-ai-maturity-matrix-ccm,2R9UzOSRzeGWsoXGqBnhWW,,
/en-us/ebooks-papers/12-strategies-help-finance-leaders-win-talent-war,ebooks-papers/12-strategies-help-finance-leaders-win-talent-war,67GXvoMBkgIe3rV5nXVXK2,,
/en-us/ebooks-papers/2025-ar-collections-best-practices,ebooks-papers/2025-ar-collections-best-practices,2zQtXcPzRJarhJQiLT16O3,,
/en-us/ebooks-papers/2025-spark-matrix-accounts-payable-automation,ebooks-papers/2025-spark-matrix-accounts-payable-automation,p6bhgQ9dBTs4jUys87cJE,,
/en-us/ebooks-papers/2025-spark-matrix-accounts-receivable-applications,ebooks-papers/2025-spark-matrix-accounts-receivable-applications,1736Pk1rYqSK7FYi72jGTo,,
/en-us/ebooks-papers/5-trends-define-accounts-payable-2025,ebooks-papers/5-trends-define-accounts-payable-2025,6r248OfWvZGkba7sR2DzbS,,
/en-us/ebooks-papers/5-trends-set-define-accounts-payable-2024,ebooks-papers/5-trends-set-define-accounts-payable-2024,6ZPe4IDm6d6lrn1gp7eGwk,,
/en-us/ebooks-papers/7-habits,ebooks-papers/7-habits,73Pishs4g0TssjaCKjMJHP,,
/en-us/webinars-events/accounting-life-celebrities,webinars-events/accounting-life-celebrities,45U1FNisGCqA0ANcyCQ1KK,,
/en-us/webinars-events/accounting-life-sports,webinars-events/accounting-life-sports,6WWxzy2tntrLId2qLxeICD,,
/en-us/ebooks-papers/accounts-receivable-collections-playbook,ebooks-papers/accounts-receivable-collections-playbook,6vjis3OcFsLUe7tlXJW6uw,,
/en-us/ebooks-papers/accounts-receivable-management-guide,ebooks-papers/accounts-receivable-management-guide,2xBwThklFIT1HCUSyWsICk,,
/en-us/webinars-events/acing-your-ap-audit,webinars-events/acing-your-ap-audit,6eGRxvSEoa9xLhGxicmGVt,,
/en-us/webinars-events/ai-accounting-processes,webinars-events/ai-accounting-processes,4frFzyrzRU8CTJP9yyAypM,,
/en-us/webinars-events/ap-2025-trends-predictions-and-future,webinars-events/ap-2025-trends-predictions-and-future,4oQLUL0oKDSn6nPMueJMHq,,
/en-us/webinars-events/ap-fraud-files-famous-frauds,webinars-events/ap-fraud-files-famous-frauds,1q66XGjDIRZusRPusCcX60,,
/en-us/webinars-events/ap-fraud-files-vendor-fraud,webinars-events/ap-fraud-files-vendor-fraud,5JcywhDEKfKaxeH2QvZgkT,,
/en-us/webinars-events/ap-integration-without-headaches-complexity-simplicity,webinars-events/ap-integration-without-headaches-complexity-simplicity,69vSljSUAKIj1tqTMbHinJ,,
/en-us/webinars-events/ap-reset-playbook,webinars-events/ap-reset-playbook,pyQ5Vi4n7ndZGOpri4lYo,,
/en-us/case-studies/bmo-digital-transformation-personal-banking,case-studies/bmo-digital-transformation-personal-banking,2mD0Q1G4JUauTGTDaip5Oq,,
/en-us/webinars-events/bots-brains-what-agentic-ai-means-finance-leaders,webinars-events/bots-brains-what-agentic-ai-means-finance-leaders,7uYGzsufkpY3dmXPX5zj6X,,
/en-us/webinars-events/building-ap-automation-business-case-today,webinars-events/building-ap-automation-business-case-today,uUeIpFKkH5LBYLaqU6jPA,,
/en-us/webinars-events/business-growth-headaches,webinars-events/business-growth-headaches,B1cMKW5sbnQiogF72rcwY,,
/en-us/ebooks-papers/ccm-101,ebooks-papers/ccm-101,36NCo9tYSEQ282xIrSUpgj,,
/en-us/ebooks-papers/ccm-maturity-model-managing-your-transformation,ebooks-papers/ccm-maturity-model-managing-your-transformation,QEm8lEBNnxlekAEeSZS96,,
/en-us/wevinars-events/change-management-ap-success,wevinars-events/change-management-ap-success,3Dapn90fBV5tBcaXNglGfv,,
/en-us/webinars-events/choosing-ap-platform,webinars-events/choosing-ap-platform,72WiGqfq7RzpA3fea1OuW0,,
/en-us/webinars-events/choosing-right-accounts-payable-platform,webinars-events/choosing-right-accounts-payable-platform,2fdQ9mVdAtdAf3fevlVRre,,
/en-us/ebooks-papers/containerization-docker-kubernetes-and-openshift-explained,ebooks-papers/containerization-docker-kubernetes-and-openshift-explained,7tYTPNJFVp3FO41ywFICYm,,
/en-us/ebooks-papers/convergence-customer-communications-management-ccm-and-customer-experience-management-cxm,ebooks-papers/convergence-customer-communications-management-ccm-and-customer-experience-management-cxm,2QDR8T6YsbYPbHQyhhpHf1,,
/en-us/ebooks-papers/create-winning-business-case-ap-automation,ebooks-papers/create-winning-business-case-ap-automation,2kOwUvDYyTz8bgr3HIuj5Z,,
/en-us/webinars-events/cutting-out-paper-cuts,webinars-events/cutting-out-paper-cuts,1xRmB7PjuZknWDPzGetdRp,,
/en-us/ebooks-papers/deconstructing-essential-ap-workflow,ebooks-papers/deconstructing-essential-ap-workflow,1QKZT6XCqvzC8PWgHdr2NM,,
/en-us/ebooks-papers/definitive-dunning-letter-toolkit,ebooks-papers/definitive-dunning-letter-toolkit,zKBVIMavBJnir258n0TY6,,
/en-us/ebooks-papers/delivering-better-customer-experience,ebooks-papers/delivering-better-customer-experience,2sT9iERPvYCrDzSqDy9uds,,
/en-us/webinars-events/digital-advantage-suite-dynamic-communications,webinars-events/digital-advantage-suite-dynamic-communications,15MHxJMkepb06OWMqJXanN,,
/en-us/webinars-events/digital-invoicing-becoming-standard,webinars-events/digital-invoicing-becoming-standard,5TikzG3593zpf4E6QpPe6m,,
/en-us/ebooks-papers/digital-optimization-program-datasheet,ebooks-papers/digital-optimization-program-datasheet,VeHOqQzQcVnzC4DHMDZpQ,,
/en-us/ebooks-papers/enabling-your-digital-office-smbs-breaking-barriers-document-automation-0,ebooks-papers/enabling-your-digital-office-smbs-breaking-barriers-document-automation-0,2jALhMTdHeQfwkAWzN0F7B,,
/en-us/ebooks-papers/evolving-customer-communications-cloud,ebooks-papers/evolving-customer-communications-cloud,3PHw7VIb8DdQL9DP1MjsCS,,
/en-us/ebooks-papers/finance-leaders-guide-automating-ap-and-ar,ebooks-papers/finance-leaders-guide-automating-ap-and-ar,6cdFKDfnZY1ijobZ7VwMfs,,
/en-us/ebooks-papers/financial-services-automation-use-cases,ebooks-papers/financial-services-automation-use-cases,7C6Y9REWNNwTkOfeVHkwYC,,
/en-us/ebooks-papers/five-signs-your-customer-communications-management-platform-no-longer-serving-you,ebooks-papers/five-signs-your-customer-communications-management-platform-no-longer-serving-you,g9a0nkrjbYVFLUZYwBCCX,,
/en-us/ebooks-papers/forrester-tei,ebooks-papers/forrester-tei,3UpL23OodxIOVdzewY9f0f,,
/en-us/webinars-events/free-monthly-accounts-payable-demo-nar,webinars-events/free-monthly-accounts-payable-demo-nar,24HuqmIuoCuPOn8gQzEa1A,,
/en-us/webinars-events/future-proofing-smbs-rising-costs,webinars-events/future-proofing-smbs-rising-costs,7N2nb7TxpkrEYJx32onedF,,
/en-us/ebooks-papers/futureproofing-accounts-payable-function,ebooks-papers/futureproofing-accounts-payable-function,4lYkjgWRDOu3FpOaIrzRtM,,
/en-us/webinars-events/getting-more-value-sage,webinars-events/getting-more-value-sage,13pEeoUAbuKVSu88SA86zv,,
/en-us/webinars-events/great-reconciliation,webinars-events/great-reconciliation,5ABP06furT5zLQn3TL485M,,
/en-us/ebooks-papers/how-automation-impacts-document-workflow-pilot-study,ebooks-papers/how-automation-impacts-document-workflow-pilot-study,35kZoEvHPN2UOjabv6WQYZ,,
/en-us/webinars-events/how-erp-connectors-transform-ap-automation,webinars-events/how-erp-connectors-transform-ap-automation,4bz92PJqK93gw7aYccvIDz,,
/en-us/webinars-events/how-finance-leaders-can-navigate-us-canada-trade-relations,webinars-events/how-finance-leaders-can-navigate-us-canada-trade-relations,55u0M4AhgOiGuIjjDHUqEa,,
/en-us/webinars-events/how-reduce-costs-your-accounts-payable,webinars-events/how-reduce-costs-your-accounts-payable,6b9qPN98gsuVfcYFErO0iX,,
/en-us/ebooks-papers/idc-customer-connection-dbs-bank,ebooks-papers/idc-customer-connection-dbs-bank,7h9qBxeP5nod7DUfB02LiE,,
/en-us/ebooks-papers/IDC-marketscape-accounts-receivable-automation-applications,ebooks-papers/IDC-marketscape-accounts-receivable-automation-applications,6yQmT9pMOIKaH1SHaAjEyL,,
/en-us/case-studies/idc-marketscape-worldwide-ccm-assessment,case-studies/idc-marketscape-worldwide-ccm-assessment,,,
/en-us/ebooks-papers/inspire-plug-salesforce,ebooks-papers/inspire-plug-salesforce,3V3rbkHnP2eqJzEeHi5BoY,,
/en-us/webinars-events/inspire-scaler-what-is-for-me,webinars-events/inspire-scaler-what-is-for-me,6wKdCUwB2dpekVCScORbFH,,
/en-us/webinars-events/invoice-processing-multiple-business-entities-locations,webinars-events/invoice-processing-multiple-business-entities-locations,3bAPFN25El6Gyov0hiRSSX,,
/en-us/webinars-events/kickstart-your-ap-transformation,webinars-events/kickstart-your-ap-transformation,6i8NCabNs6gACrx4IqTsJZ,,
/en-us/ebooks-papers/legacy-consolidation-operational-transformation,ebooks-papers/legacy-consolidation-operational-transformation,2JUV3dNLO9EfxaZqoBRG95,,
/en-us/ebooks-papers/mail-outsourcing-revolution,ebooks-papers/mail-outsourcing-revolution,2DX8gBb4TIVygCZxNr6KeY,,
/en-us/webinars-events/making-quickbooks-even-quicker-with-ap-automation,webinars-events/making-quickbooks-even-quicker-with-ap-automation,1M4xFBweibZTiQMPlBUSWx,,
/en-us/webinars-events/mastering-accounts-payable-workflow,webinars-events/mastering-accounts-payable-workflow,54Z8sCZRJ27RRbjmp3LWjq,,
/en-us/ebooks-papers/moments-matter-critical-touchpoints-make-or-break-customer-experience,ebooks-papers/moments-matter-critical-touchpoints-make-or-break-customer-experience,3ReupAdPZFhxSXmjUcRuL1,,
/en-us/ebooks-papers/navigating-us-canada-trade-relations-guide,ebooks-papers/navigating-us-canada-trade-relations-guide,4oQKl5jn3liq2ffj20Pxic,,
/en-us/webinars-events/new-ai-frontier-transforming-financial-automation,webinars-events/new-ai-frontier-transforming-financial-automation,4VxEMczAxlntebQhUqBMSL,,
/en-us/webinars-events/new-ai-frontier-transforming-financial-automation-0,webinars-events/new-ai-frontier-transforming-financial-automation-0,3EaNu3lRmo2RpLmEhFpWER,,
/en-us/webinars-events/novice-guru-how-ai-accelerates-processes,webinars-events/novice-guru-how-ai-accelerates-processes,59XjIFbWY3dOuK38F4uczF,,
/en-us/webinars-events/novice-to-guru-mastering-ai-in-finance,webinars-events/novice-to-guru-mastering-ai-in-finance,3sjbxpnz5915ZhLLyRwrzI,,
/en-us/webinars-events/optimising-cash-flow-forecasting-weather-economic-storms,webinars-events/optimising-cash-flow-forecasting-weather-economic-storms,2e20DBX3ushb4EsvyvW4y7,,
/en-us/webinars-events/optimizing-operations-webinar,webinars-events/optimizing-operations-webinar,3CRFeviMVIPrOVejhsR9jl,,
/en-us/ebooks-papers/optimizing-your-financial-operations,ebooks-papers/optimizing-your-financial-operations,5dopelubrjou4MwaFcluaP,,
/en-us/webinars-events/our-journey-digital-lincoln-financial-group,webinars-events/our-journey-digital-lincoln-financial-group,3E2nh6L36JVx9PAqqKbtn5,,
/en-us/webinars-events/partnership-sage-ap-automation,webinars-events/partnership-sage-ap-automation,2keKHT4zEFk8ANHTwKLD3b,,
/en-us/ebooks-papers/practical-steps-improve-smb-cash-flow,ebooks-papers/practical-steps-improve-smb-cash-flow,2n2BVuDqDoMAecw5Z3lWID,,
/en-us/webinars-events/practical-workflow-scorecard,webinars-events/practical-workflow-scorecard,3Xjcs4xP1PoUQOMDrGCN7a,,
/en-us/webinars-events/protecting-profit-margins,webinars-events/protecting-profit-margins,4ugsrowlCRb5n41tzMEDrc,,
/en-us/ebooks-papers/quadient-ar-named-leader-idc-marketscape-report,ebooks-papers/quadient-ar-named-leader-idc-marketscape-report,63Bmx21Lmi1DYM34PZmK8X,,
/en-us/ebooks-papers/quadient-named-leader-2021-aspire-leaderboard-ccm,ebooks-papers/quadient-named-leader-2021-aspire-leaderboard-ccm,5lEhORwCFphBt39v56GJce,,
/en-us/ebooks-papers/quadient-recognized-2023-gartner-magic-quadrant,ebooks-papers/quadient-recognized-2023-gartner-magic-quadrant,50lUZtW8JnZGaHAn81YNZr,,
/en-us/webinars-events/quadient-transformation-made-simple-cognizants-coral,webinars-events/quadient-transformation-made-simple-cognizants-coral,5Ks7KYONABxD1HQqTnQdW2,,
/en-us/ebooks-papers/replacing-premises-legacy-customer-communication-systems,ebooks-papers/replacing-premises-legacy-customer-communication-systems,2D3pDKAI2V1zC85gAd4Nja,,
/en-us/webinars-events/roundtable-sage-and-ap-automation-success,webinars-events/roundtable-sage-and-ap-automation-success,5QnCXlB2fIEbwzErxvEtf7,,
/en-us/ebooks-papers/saas-customer-communications-replacementupgrade,ebooks-papers/saas-customer-communications-replacementupgrade,2Mc652LAy1OTMJdV82erKs,,
/en-us/case-studies/santander-bank-uk-taking-onboarding-next-level,case-studies/santander-bank-uk-taking-onboarding-next-level,4wo3tt8ePpaxxnDnyII4iP,,
/en-us/webinars-events/solving-payment-problem-better-way-collect,webinars-events/solving-payment-problem-better-way-collect,5JCvFbUtGqOGw2HuqNmGb2,,
/en-us/ebooks-papers/spark-matrix-ccm-2025,ebooks-papers/spark-matrix-ccm-2025,2dXQCPNI9ywFTuVl1isnI6,,
/en-us/webinars-events/streamlining-your-accounts-payable-automation-tools,webinars-events/streamlining-your-accounts-payable-automation-tools,7g3NPNAL3i0dPLFkFaFVwO,,
/en-us/webinars-events/take-your-wisp-paper-practice,webinars-events/take-your-wisp-paper-practice,6otWDiI2PXSsX2ftr1tQwJ,,
/en-us/webinars-events/tariff-ied-minimizing-impact,webinars-events/tariff-ied-minimizing-impact,2D9OUZxCPaYMbimbBsYTy2,,
/en-us/webinars-events/tax-season-fraud,webinars-events/tax-season-fraud,6MQlFkzP01wjh8tLUB8GZ4,,
/en-us/ebooks-papers/top-12-customer-communication-trends-watch,ebooks-papers/top-12-customer-communication-trends-watch,5USVy4PyIihJxGVBlDVypX,,
/en-us/webinars-events/top-ap-headaches-ditch-2025,webinars-events/top-ap-headaches-ditch-2025,3NqWIPUDfcqRidQOHTWK8S,,
/en-us/ebooks-papers/transforming-customer-engagement,ebooks-papers/transforming-customer-engagement,1cwvswWRKNhf8neARgKOD7,,
/en-us/ebooks-papers/ultimate-ai-guide-accounts-receivable-professionals,ebooks-papers/ultimate-ai-guide-accounts-receivable-professionals,5Q3MdESqwtfxapaxAjUNMt,,
/en-us/ebooks-papers/ultimate-ar-email-template-kit,ebooks-papers/ultimate-ar-email-template-kit,677ZgsBICxlG8ER6w80FzM,,
/en-us/webinars-events/winning-finance-talent-war,webinars-events/winning-finance-talent-war,3eD2TxRHALYTVH4AT02LtM,,
/en-us/webinars-events/xero-and-ap-automation,webinars-events/xero-and-ap-automation,2JVKNOe9qEyEKgQNl5u0cd,,